Month,Percentage,Clade,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,G,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,GH,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,GR,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,S,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,L,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,V,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,O,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.169811321,G,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.339622642,GH,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.509433962,GR,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.679245283,S,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.867924528,L,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.509433962,V,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.924528302,O,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12363.82319,G,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,122959.6001,GH,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8673.762752,GR,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39593.92435,S,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6065.271753,L,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5004.909559,V,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3244.708315,O,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,100488.7959,G,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,601603.5584,GH,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49181.02443,GR,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,78822.56078,S,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29109.8496,L,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11298.34345,V,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5316.867506,O,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,108866.2661,G,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,449878.8225,GH,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,124297.4658,GR,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23231.58639,S,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3900.193335,L,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1017.44174,V,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6274.224061,O,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,171254.4833,G,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,434788.242,GH,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,212865.0768,GR,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10614.94731,S,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,566.1305235,L,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,V,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2689.119986,O,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,572657.981,G,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,965210.9048,GH,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,351965.8687,GR,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1902.518209,S,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,L,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,V,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6341.727364,O,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442907.585,G,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,751186.8733,GH,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,256899.4069,GR,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1300.756491,S,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,L,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,V,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,650.3782453,O,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,342226.2278,G,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,691503.0752,GH,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,155655.9863,GR,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,S,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,L,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,V,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1084.710706,O,September ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,562004.4818,G,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1011152.08,GH,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,310071.4383,GR,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,S,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,L,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,V,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,O,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1003175.68,G,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2811531.84,GH,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,475188.48,GR,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,S,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,L,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,V,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,O,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,