Month,Percentage,Clade,Actual
1,0,V,January
1,0.428571429,S,January
1,0.428571429,L,January
1,0.142857143,O,January
1,0,G,January
1,0,GH,January
1,0,GR,January
2,0.027027027,V,February
2,0.522522523,S,February
2,0.126126126,L,February
2,0.27027027,O,February
2,0.009009009,G,February
2,0.018018018,GH,February
2,0.027027027,GR,February
3,0.05,V,March
3,0.201388889,S,March
3,0.027651515,L,March
3,0.032070707,O,March
3,0.069191919,G,March
3,0.583080808,GH,March
3,0.036616162,GR,March
4,0.010333128,V,April
4,0.081739667,S,April
4,0.026989513,L,April
4,0.00879087,O,April
4,0.128932758,G,April
4,0.693861814,GH,April
4,0.049352252,GR,April
5,0.001518987,V,May
5,0.035443038,S,May
5,0.006075949,L,May
5,0.010632911,O,May
5,0.192658228,G,May
5,0.608860759,GH,May
5,0.144810127,GR,May
6,0,V,June
6,0.032272133,S,June
6,0,L,June
6,0.003052769,O,June
6,0.192324466,G,June
6,0.372001744,GH,June
6,0.400348888,GR,June
7,0,V,July
7,0.000789889,S,July
7,0,L,July
7,0.001579779,O,July
7,0.326224329,G,July
7,0.5,GH,July
7,0.171406003,GR,July
8,0,V,August
8,0.002475248,S,August
8,0,L,August
8,0,O,August
8,0.267326733,G,August
8,0.569306931,GH,August
8,0.160891089,GR,August